lucode,LULC_name,C_above,C_below,C_soil,C_dead
1,HighDensityUrban,0,0,0,0
2,MediumDensityUrban,0,0,0,0
3,IndustrialCommericalUnit,0,0,0,0
4,RoadRailNetwork,0,0,0,0
5,Port,0,0,0,0
6,Airport,0,0,0,0
7,MineralExtraction,0,0,0,0
8,Dump,0,0,0,0
9,Construction,0,0,0,0
10,GreenUrbanArea,1,0,0,0
11,SportLeisureFacility,1,0,0,0
12,NonIrrigatedArableLand,5,0,0,0
13,PermanentlyIrrigatedArableLand,5,0,0,0
14,RiceField,5,0,0,0
15,Vineyard,5,0,0,0
16,FruitAndBerryPlantation,5,0,0,0
17,OliveGrove,5,0,0,0
18,Pastureland,4.5,0,0,0
19,AnnualCroplandAssociatedWithPermanent,39,0,0,0
20,ComplexCultivationPatternedLand,39,0,0,0
21,AgriculturalLandWithNaturalVegetation,39,0,0,0
22,AgroForestryLand,39,0,0,0
23,BroadleafForest,77,0,0,0
24,ConiferousForest,77,0,0,0
25,MixedForest,74,0,0,0
26,Grassland,4.5,0,0,0
27,MoorAndHeathland,37,0,0,0
28,SclerophyllousVegetation,37,0,0,0
29,TransitionalWoodlandScrub,38,0,0,0
30,BeachDuneAndSand,1,0,0,0
31,BareRock,1,0,0,0
32,SparseVegetation,2.5,0,0,0
33,BurnedLand,1,0,0,0
34,GlacierAndPerpetualSnow,0,0,0,0
35,InlandMarsh,7,0,0,0
36,PeatBog,7,0,0,0
37,SaltMarsh,7,0,0,0
38,Saline,1,0,0,0
39,IntertidalFlat,1,0,0,0
40,Watercourse,0,0,0,0
41,StillWaterBody,0,0,0,0
42,CoastalLagoon,0,0,0,0
43,Estuary,0,0,0,0
44,SeaAndOcean,0,0,0,0
